product,source_a,time_frequency_a_Hz,time_order_a_n,spatial_order_a_m,source_b,time_frequency_b_Hz,time_order_b_n,spatial_order_b_m,contribution_real,contribution_imag,contribution_abs,stress,target_time_frequency_Hz,target_time_order_n,target_spatial_order_m,target_coeff_real,target_coeff_imag,target_coeff_abs,pair_rank,abs_fraction_of_target
Br*Br/(2mu0),Br,0.0,0.0,-20.999999999999996,Br,241.4898960627487,1.0,-20.999999999999996,-9311.750333960397,17451.94927416695,19780.7792503255,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,1,0.5152178147121078
Br*Br/(2mu0),Br,241.4898960627487,1.0,-20.999999999999996,Br,0.0,0.0,-20.999999999999996,-9311.750333960397,17451.94927416695,19780.7792503255,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,2,0.5152178147121078
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,482.9797921254974,2.0,-62.999999999999986,2989.7083477265305,-6936.307156742642,7553.192237534067,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,3,0.19673336168789818
Br*Br/(2mu0),Br,482.9797921254974,2.0,-62.999999999999986,Br,-241.4898960627487,-1.0,20.999999999999996,2989.7083477265305,-6936.307156742641,7553.192237534066,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,4,0.19673336168789818
Br*Br/(2mu0),Br,482.9797921254974,2.0,-20.999999999999996,Br,-241.4898960627487,-1.0,-20.999999999999996,-933.8345860213475,1750.1617956739487,1983.7120116302976,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,5,0.051668529066341166
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,-20.999999999999996,Br,482.9797921254974,2.0,-20.999999999999996,-933.8345860213474,1750.1617956739487,1983.7120116302976,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,6,0.051668529066341166
-Btheta*Btheta/(2mu0),Btheta,0.0,0.0,-20.999999999999996,Btheta,241.4898960627487,1.0,-20.999999999999996,-312.2639359121131,1489.58992903342,1521.9681081905474,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,7,0.0396417690547025
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-20.999999999999996,Btheta,0.0,0.0,-20.999999999999996,-312.2639359121131,1489.58992903342,1521.9681081905474,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,8,0.0396417690547025
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,482.9797921254974,2.0,-62.999999999999986,-450.12447988876175,932.350107378698,1035.3206122376769,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,9,0.02696636045593198
-Btheta*Btheta/(2mu0),Btheta,482.9797921254974,2.0,-62.999999999999986,Btheta,-241.4898960627487,-1.0,20.999999999999996,-450.1244798887616,932.3501073786979,1035.3206122376766,Fr,241.4898960627487,1.0,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173,10,0.026966360455931974
